sample_ID,ampset_name,barcode,gene,polymerase,pass_fail,size_or_fail_peak1,size_or_fail_peak2,conc_or_fail_peak1,conc_or_fail_peak2
3043,JL01_AMPA,4,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2775,JL01 DR,14,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5605,JL01 DR,18,DRB1,GoTaq,PASSED,14492,16272,5.0347999999999997,5.6393000000000004
4732,JL01 DR,21,DRB1,GoTaq,PASSED,12289,16611,7.7915999999999999,2.6937000000000002
1563,JL01 DR,23,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2820,JL01 DR,29,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4034,JL01 DR,32,DRB1,GoTaq,PASSED,15000,No second peak,21.563500000000001,No second peak
4009,JL01 DR,39,DRB1,GoTaq,PASSED,15085,No second peak,5.3688000000000002,No second peak
4778,JL01 DR,44,DRB1,GoTaq,PASSED,16187,No second peak,7.5124000000000004,No second peak
2699,JL01 DR,54,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2746,JL01 DR,55,DRB1,GoTaq,PASSED,8526,No second peak,.1487,No second peak
5078,JL01 DR,60,DRB1,GoTaq,PASSED,12713,15848,2.3519000000000001,3.3058999999999998
3110,JL01 DR,66,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1509,JL01 DR,71,DRB1,GoTaq,PASSED,17458,No second peak,.3306,No second peak
3045,JL01 DR,82,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2672,JL01 DR,85,DRB1,GoTaq,PASSED,13221,No second peak,.49890000000000001,No second peak
3989,JL01 DR,88,DRB1,GoTaq,PASSED,11950,15255,6.2281000000000004,2.0592999999999999
4050,JL01 DR,90,DRB1,GoTaq,PASSED,11780,16272,17.802299999999999,3.7568000000000001
1518,JL01 DR,91,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4313,JL01 DR,103,DRB1,GoTaq,PASSED,11611,15509,17.3081,14.7911
3891,JL01 DR,107,DRB1,GoTaq,PASSED,11357,16102,22.7592,6.9968000000000004
3311,JL01 DR,112,DRB1,GoTaq,PASSED,14153,15594,6.2907000000000002,13.3767
2776,JL01 DR,113,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1309,JL01 DR,120,DRB1,GoTaq,PASSED,12713,12713,5.6596000000000002,5.6596000000000002
1680,JL01 DR,125,DRB1,GoTaq,PASSED,10764,15255,26.5139,16.2148
1311,JL01 DR,129,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2735,JL01 DR,143,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1517,JL01 DR,148,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3231,JL01 DR,149,DRB1,GoTaq,PASSED,12204,15678,3.3411,.3725
1629,JL01 DR,172,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3077,JL01 DR,175,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
