sample_ID,barcode,gene,polymerase,pass_fail,size_or_fail_peak1,size_or_fail_peak2,conc_or_fail_peak1,conc_or_fail_peak2
3043,4,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2775,14,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5605,18,DRB1,GoTaq,PASSED,14492,16272,5.0348,5.6393
4732,21,DRB1,GoTaq,PASSED,12289,16611,7.7916,2.6937
1563,23,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2820,29,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4034,32,DRB1,GoTaq,PASSED,15000,No second peak,21.5635,No second peak
4009,39,DRB1,GoTaq,PASSED,15085,No second peak,5.3688,No second peak
4778,44,DRB1,GoTaq,PASSED,16187,No second peak,7.5124,No second peak
2699,54,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2746,55,DRB1,GoTaq,PASSED,8526,No second peak,0.1487,No second peak
5078,60,DRB1,GoTaq,PASSED,12713,15848,2.3519,3.3059
3110,66,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1509,71,DRB1,GoTaq,PASSED,17458,No second peak,0.3306,No second peak
3045,82,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2672,85,DRB1,GoTaq,PASSED,13221,No second peak,0.4989,No second peak
3989,88,DRB1,GoTaq,PASSED,11950,15255,6.2281,2.0593
4050,90,DRB1,GoTaq,PASSED,11780,16272,17.8023,3.7568
1518,91,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4313,103,DRB1,GoTaq,PASSED,11611,15509,17.3081,14.7911
3891,107,DRB1,GoTaq,PASSED,11357,16102,22.7592,6.9968
3311,112,DRB1,GoTaq,PASSED,14153,15594,6.2907,13.3767
2776,113,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1309,120,DRB1,GoTaq,PASSED,12713,12713,5.6596,5.6596
1680,125,DRB1,GoTaq,PASSED,10764,15255,26.5139,16.2148
1311,129,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2735,143,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1517,148,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3231,149,DRB1,GoTaq,PASSED,12204,15678,3.3411,0.3725
1629,172,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3077,175,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1490,185,DRB1,GoTaq,PASSED,14407,No second peak,13.7226,No second peak
3576,187,DRB1,GoTaq,PASSED,10083,14673,81.3493,34.1924
2900,188,DRB1,GoTaq,PASSED,10083,14591,49.9851,18.2262
3108,201,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3795,209,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4373,214,DRB1,GoTaq,PASSED,10329,13771,58.3708,35.5854
3011,218,DRB1,GoTaq,PASSED,13771,No second peak,62.7408,No second peak
3143,233,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1530,245,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3945,249,DRB1,GoTaq,PASSED,13361,17869,28.7863,5.5528
3000,252,DRB1,GoTaq,PASSED,11148,15656,39.1503,8.5213
2717,259,DRB1,GoTaq,PASSED,12378,No second peak,0.6286,No second peak
2700,264,DRB1,GoTaq,PASSED,15000,No second peak,0.5803,No second peak
2734,307,DRB1,GoTaq,PASSED,11722,No second peak,1.4447,No second peak
3942,313,DRB1,GoTaq,PASSED,11148,14427,31.7353,26.5483
1537,349,DRB1,GoTaq,PASSED,12214,No second peak,1.0687,No second peak
1491,364,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3029,367,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3023,380,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4371,393,DRB1,GoTaq,PASSED,9700,13279,91.2968,58.1059
3024,395,DRB1,GoTaq,PASSED,14345,19180,27.9665,6.0034
2671,396,DRB1,GoTaq,PASSED,12214,No second peak,2.7147,No second peak
4012,397,DRB1,GoTaq,PASSED,12378,17295,55.116,10.7169
3929,400,DRB1,GoTaq,PASSED,10985,13607,32.9099,25.9833
1604,402,DRB1,GoTaq,PASSED,9650,12460,86.0291,49.6741
3933,404,DRB1,GoTaq,PASSED,13525,18033,12.7428,2.6755
5657,407,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2897,408,DRB1,GoTaq,PASSED,10247,13525,59.8114,41.4322
2420,410,DRB1,GoTaq,PASSED,10411,13443,61.1199,64.9481
1453,412,DRB1,GoTaq,PASSED,10329,15164,64.1885,13.3525
342,413,DRB1,GoTaq,PASSED,8900,No second peak,0.2054,No second peak
1697,416,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
921,422,DRB1,GoTaq,PASSED,13771,18525,41.0527,9.7092
